name,company,city,transaction_total
Craig Coleman,Warren-Williams,Patriciaville,$2981.32
Sheena Wade,Johnson LLC,Holtton,$385.52
Tiffany Curry,Trujillo-Ruiz,Phelpsland,$284.26
Amanda Moore,Smith PLC,Port Patrick,$991.78
Ryan Villarreal,Morgan; Hubbard and Williams,South Rachel,$2.56
David Young,Fox; Bentley and Brock,West Amandatown,$1119087.96
Mr. Kevin Moss,Lara PLC,North Cristiantown,$1475.61
Melissa Hatfield,Morgan; Jenkins and Nunez,Hillborough,$56.93
David Edwards,Tran-Bailey,West Terri,$1336.97
Shelia Barnett,Johnson; Grant and Ross,North Elizabeth,$1446563.17
Melissa Reed,Kim; Wiggins and Brown,South Lauren,$266.21
Monique Abbott,Riggs-Martin,Stevensonfurt,$1724.43
Madison Thompson MD,Cross; Anderson and Morgan,Freemanchester,$140.78
Carl Hicks,Roth; Patel and Carrillo,Robertton,$455.79
Ian Parker,Cook Inc,Willieshire,$471.22
Dwayne Hall,Williamson; Wang and Conner,West Brendan,$1164.70
Anna Swanson,Erickson-Callahan,Carpentershire,$1028.30
Aaron Rios,Green; Mckinney and Silva,Laurenstad,$1094.68
Garrett Hawkins,Lindsey; Nunez and Byrd,New Stanleyshire,$2243.66
Amanda Snyder,Lambert-Bernard,Williamshire,$523.47
Savannah Lawrence,Patton-Alexander,Millerbury,$1370.20
Michael Hoover,Sullivan-Garner,Martinezport,$170.10
Mark Wilson,Newton; Turner and Jimenez,Moorestad,$252.24
Jillian West,Gentry Inc,Blackview,$770.41
Patricia Torres,Gaines Inc,East Barbaramouth,$199.89
Taylor Smith,Barker; Robertson and Wilson,West Jessicafort,$670.25
Eric Barron,Lyons-Aguilar,Hicksland,$1360.79
Raymond Hughes,Lee and Sons,Lake Derrickside,$1299.85
Deborah Gilmore,Mcneil Inc,Lake Amy,$773.26
Wendy Torres,Zavala Ltd,Davisfort,$472.90
Becky Brown,Charles PLC,Langton,$76.30
Anna Cooke,Hanna-Turner,Marcusstad,$216.21
Nathan Clayton,Atkins-Moore,South Desiree,$702.92
Amanda Ho,Mendez Inc,Lake Amanda,$10.74
Michael Buck,Burgess; Garcia and Sawyer,Port Jessicaville,$872.28
Carlos Gonzalez,Shaw-Ramos,Port Daniel,$1544.41
Lisa Adams,Fox LLC,West Zacharytown,$934.54
Cody Holland,Long-Williams,South Kerri,$603.02
Joshua Morrison,Miller Inc,South Matthewside,$15.83
Tracy West,Cervantes and Sons,South Andrew,$1172.60
Alexandra Anderson,Jackson; Knight and Harris,North Melissa,$892.71
Kimberly Phelps,Pope; Thompson and Vargas,West Susan,$246.14
Anthony Wilson,Robles; Clark and Bowen,Geraldtown,$1648.17
Karen Nguyen,Garcia-Benjamin,Lake Johnport,$771.19
Amber Preston MD,Rogers; Carter and Taylor,North Michaelside,$866.36
Omar Myers,Bryant and Sons,New Shannonville,$188.10
Tracy White,Hart Ltd,Grahamstad,$29.73
Erin Lambert,Lin-Fischer,Cardenasberg,$96132.18
Nicole Moore,Jones; Cannon and Blackwell,Stevenfort,$1546.84
Timothy Thornton,Reyes PLC,South David,$585.74
Pamela Moore,Robinson; Carter and Cooley,Rebeccaview,$9747.42
Christopher Watts,Collins-Little,North Tanya,$911.20
Susan Perry,French; Medina and Jones,North Jennifer,$890.54
Crystal Benitez,Bradley; Vargas and Johnson,Bauerfurt,$68.35
Courtney Nichols,Williams; Ramos and Henry,Kingbury,$647.14
Shannon Hogan,Gilmore and Sons,North Jamesport,$912.54
Nicole Harrison,Paul; Lawrence and Hopkins,Garyside,$662.55
Mr. Victor Baker,Allen PLC,Port Kevinstad,$671.56
Matthew Lara,Smith-Rodriguez,Lake Kevinborough,$8522344.42
Marcus Flynn,Serrano; Farrell and Austin,Port Nicholas,$690.62
Heather Walker,May; Mitchell and Coleman,Gomezmouth,$1289.88
Brandon Miller,Harris; Collins and Lewis,North Jennifer,$2518.96
Shane Adams,Steele; Munoz and Lin,East Sarahborough,$931.76
Katie Lee,Lowe Group,Port Johnborough,$820.10
Nathan Washington,Lucero; Burton and Patel,North Christopher,$23459.09
Brian Rodriguez,Bailey; Gonzales and Williams,Lindamouth,$1050.40
Summer Roy,Chambers and Sons,West Charles,$1288.57
Amy Lynn,Powell Ltd,Schneiderbury,$93.61
Justin Colon,Warren-Rivera,Johnsonberg,$647.52
Joseph Morris,Murphy-Mason,Lauraport,$476.66
Daniel Miranda,Hurley-Mcintosh,West Lori,$1539.36
Craig Bolton,Cameron-Henry,New Melissastad,$3913.36
Wendy Parks,Garza; Brown and Keith,Lake Nicholasshire,$889.82
Michael Valdez,Frank LLC,East Williamhaven,$786.85
Desiree Cook,Chavez; Salas and Aguilar,Deanmouth,$414.99
Julie Pierce,Mason; Castillo and Hill,Geraldchester,$84.98
John Walters,Boyd; Martin and Kent,Harrisonport,$647.69
Frank Hancock,Ware; Evans and Lutz,Jeremyfurt,$221.10
Michele Horn,Long Group,Stephaniefurt,$169.64
Eric Sanford,Casey-Snyder,Heatherborough,$346.04
Wendy Moreno,Simmons Group,Lake Sherrishire,$123.46
Dustin Sanchez,Tyler-Miranda,Averymouth,$9501.22
Mathew Valenzuela,Hunter; Colon and Brown,Elizabethstad,$794.39
Teresa Hudson,Jones LLC,New Maryburgh,$331.98
Tina Johnson,Hall; Kennedy and Valentine,East Danny,$906.63
Colleen Hill,Jones-Torres,West Janetside,$4987794.88
Richard Hays,Obrien-Aguirre,Debbiemouth,$710.91
Colleen Page,Calderon; Mcdonald and Smith,West Tabithaside,$2509.77
Blake Burke,Hernandez-Swanson,Deniseburgh,$945.57
Daniel Smith,Davis-Wilson,South Jenniferchester,$244.47
Shawn Jones,Meyers; Mata and Reyes,South Kimchester,$430.23
Becky Nelson,Diaz; Morse and Lee,Campbellview,$35.07
Dennis Carter,Kennedy-Maddox,Denisebury,$2761.01
Mrs. Ashley Parker,Brown; Daniel and Brooks,South Troy,$783.93
Mr. Richard Smith MD,Salazar and Sons,Juliafurt,$757.35
Laurie Jimenez,Shaw; Flowers and Johnson,Delgadohaven,$713.51
Mrs. Erin Gardner,Hood-Wallace,Fergusonfurt,$1351.91
Karen Thomas,Murray; George and Hopkins,Wesleytown,$679.21
Cameron Thompson,Huber and Sons,Murrayport,$498.61
Nathan Burnett,Roberts-Gentry,West Sydney,$388.71
Heather Conway,Young; Chapman and Salinas,Melaniemouth,$1340.39
Adam Mcmahon,Brandt PLC,North Angelaland,$53624.79
