name,company,city,transaction_total
Jessica Duran,Gordon; Russell and Robinson,Lake Toniborough,$1248.16
Jennifer Sherman,Vargas-Thornton,Port Reginaville,$298.77
Marcia Davis,Gray-Massey,Hendersonborough,$261.14
Kimberly Lopez,King; Ryan and Alvarez,New Kathryn,$258.96
Ashley Brown,Jackson Inc,South Loribury,$236.87
Mark Williams,Owens; Washington and Novak,Hallfurt,$1407.90
Robert Mata,Owens-Brown,West Chasehaven,$6067.09
Ryan Kelley,Harris Group,Port Jose,$882.02
Joy Lee,Hughes; Williams and Watson,Tanyastad,$301.66
Michael Phillips,Thomas Group,Ruizview,$998.92
Devin Jackson,Williams PLC,New Lindashire,$727.15
Melissa Odom,Leonard; Hayes and Dawson,East Jason,$1897.56
Gloria Myers,Edwards; Frank and Farrell,New Cindy,$813.19
Ryan Lee,Haynes LLC,Lake Laurenport,$1298.52
Susan King,Hicks; Adams and Foster,New Amy,$3574.03
Jeffrey Hurst,Guzman; Jones and Stevens,Jenniferberg,$1192.04
Daniel Guerrero,Bernard and Sons,Lake Bradberg,$1425.88
Jaime Cunningham,Campbell-Fuller,Christophershire,$320.98
Brianna Campbell,Ortiz Ltd,North Shannon,$585.07
Miss Tracy Allen DVM,Salazar-Campbell,Williammouth,$1087.21
Ana Foley,Chambers-Silva,South Valerie,$329.47
Jennifer Cox,Rivera-Clark,Sarahstad,$445.28
Anna Shaffer,Collier PLC,Harmonland,$470.91
Karen Perez,Gonzalez-Carson,Prattborough,$899.60
Sandra Thompson,Mckee; Willis and Bell,Ayalaborough,$1772.75
Mark Mendez,Rich; Smith and Winters,Johnburgh,$2732.31
Justin Williams,Richardson PLC,Mariaside,$895.14
Christopher Barnes,Young; Harrell and Hawkins,Liutown,$549.52
Debra Moore,Davis; Dorsey and Griffin,Edwinhaven,$540.61
Derek White,Wilson; Mcgee and Nguyen,Rachaelfurt,$347.11
Sheryl Collins,Savage and Sons,Lake Jennifer,$1268.17
Heather Ray,Fitzgerald; Edwards and Gray,West Sherriburgh,$1107.58
Karen Cohen,Sandoval Group,Sandrastad,$959.12
Gerald Gilbert,Ho; Williams and Mitchell,Sharpmouth,$616.30
Denise Roberts,Dorsey-Jones,Clarkefurt,$1.32
Danny Lopez,Bowman and Sons,Sarahburgh,$529.55
Jeffrey King,Wolfe; Lopez and Hunt,Port Ericmouth,$632.04
Susan Todd,Campbell-Shepherd,Rodriguezside,$1767.08
Alex Evans,Moore-Lutz,Wilsonbury,$932.63
Jennifer Marquez,Ford-Edwards,Lake Veronicaview,$92.09
Andrea Brown,Brewer LLC,Hallborough,$1208.06
Miguel Johnson,Williams; Shepherd and Butler,Johnnyview,$131.25
Michael Lopez,Nguyen; Gray and Miller,West Nathan,$1298.90
Tammy Parker,Vargas LLC,Reginamouth,$677.26
Michelle Page,Hernandez; Beltran and Robles,Caitlinburgh,$580.32
Alexandria Williams,Williams Inc,South Nicholasstad,$427.85
Russell Gilmore,Baker-Hicks,New Williamview,$221.71
William Flores,Bell; Johnson and Townsend,Bushland,$298.45
Christopher Hicks,Murphy; Benitez and Ryan,New David,$908.67
Jessica Kelly,Snyder; Smith and Klein,West Kimberlymouth,$349.32
Kimberly Smith,Gardner; Flores and Lewis,South Davidview,$92.13
Yolanda Horne,Barry-Arnold,Kristinafort,$1242.52
Dean Harmon,Walton-Cohen,Crystalfurt,$162.49
Todd Snyder,Reyes and Sons,West Michelleton,$1543.99
Lindsey Montoya,Simmons-Schroeder,New Jon,$903.75
Ronald Jones,Price-Gonzalez,West Penny,$499.53
Christine Davis,Sims; Knapp and Williams,Durhamfurt,$715.68
John Lopez,Robinson; Taylor and Tucker,Port Joseph,$960.40
Michael Hernandez,West; Tucker and Booth,South Glenda,$1362.83
Connor Reed,Clark and Sons,South Patricia,$1997.67
Ashley Martinez,Wagner PLC,Briantown,$180.92
Jason Little,Jenkins-Wilson,New Tanya,$156.73
Cassandra Adams,Reed and Sons,Port Sherry,$667.67
Cody Morgan,Mccarthy Ltd,Carrilloton,$803.95
James Galloway,Nelson; Shaw and Snyder,Port John,$951.65
Brandon Morse,Rose-Strickland,Williamstad,$15135.33
John Ortiz,Evans PLC,East Carmen,$1749.72
Ian Murray,Anderson and Sons,Margaretbury,$17.11
Kevin Rodriguez,Cook LLC,Lake Aaronland,$50618.82
Jacqueline Hayes,Schwartz; Thomas and Smith,East Joy,$1102.38
Jon Martin,Johnson-Murphy,Johnsonberg,$624.31
Jacob Parsons,Caldwell Group,North Nicole,$490.14
Brooke Livingston,Jacobs-Cobb,East Richard,$979.59
Hannah English,Nichols and Sons,Carlhaven,$424.55
Cheryl Sullivan,Combs; Powell and Hinton,New Jennifer,$1088.68
James Bennett,Mendez-Frost,Charlesfurt,$1290.05
Jennifer Howell,Kemp-Miller,East Lisaberg,$8323.91
Pamela Harper,Estrada; Tran and Gould,East Danielle,$410.46
Kathy Hayes,Ward-Wilson,Hancockfort,$2523.58
Alexander Burton,Hernandez-Barnett,Phillipshire,$1399.96
Linda Adams,Diaz; Olson and Quinn,South Sarah,$586.47
Marcus Bryant,Brown; Clark and Lewis,Angelaport,$946.13
Elizabeth Sherman,Gay Inc,South Mary,$1564.77
Timothy Ramirez,Garrett; Gates and Morris,Kristyburgh,$277.23
Troy Avila,Lee; Carter and Snyder,Sandersfurt,$267.66
Kayla Bennett,Bell; Byrd and Wright,Carolhaven,$63.95
Jeffrey Anderson,Lee-Pope,Amandaville,$1220.11
Paula Vargas,Simmons-Jarvis,Hansonberg,$448.89
Jennifer Shaw,Smith-Short,Rogersmouth,$1353.51
Shawn Hill,Davis; Flores and Benson,Schneiderfort,$549.05
Linda Lee,Miller PLC,Clarkville,$490.13
Gary Bowers,Morrison LLC,Foxtown,$207.62
Eric Butler,Molina Group,North Monica,$1372.75
Shawn Gonzalez,Sullivan Group,Benitezhaven,$313.28
Caitlin Hunt,Weaver; Johnson and Tyler,New Joseph,$867.93
Courtney Nguyen,King; Rogers and Wells,Kennethton,$7.62
Richard Medina,Bass; Davis and Mcgee,Port Jeff,$980.02
Jared Spencer,Wilson PLC,New Scottshire,$1183.95
Timothy Callahan,Lawrence; Conway and Baker,Hesschester,$2531.27
Crystal Crane,Beck; Frye and Smith,East Sarah,$508.79
Ryan Wall,Rivera; Cohen and Davidson,New Jennifer,$59.07
Steven Beck,Vargas PLC,Brentberg,$609.78
Michelle Willis,Lowe-Lin,Lake Debrashire,$1548.65
Christian Wilson,Potts Ltd,Davidmouth,$1061.55
Stephanie Ferguson,Conner Group,West James,$30.77
Jason Holmes,Jones-Jacobson,West Martin,$481.96
Alyssa Sanchez,Smith Ltd,Krististad,$88.05
Olivia Buck,Collins-Stein,Rebeccafort,$136.08
Ruth Hamilton,Foley; Salinas and Waters,Clarkeport,$496.89
Rebecca Bowers,Tanner-Castro,South Jose,$1409.02
Kristina Brown,Thornton Ltd,Myersmouth,$929.25
Justin Johnson,Reese and Sons,Mcgrathchester,$1182.02
Joseph Griffin,Hart; Burch and Bell,South Heatherborough,$1496.75
Amy Guerrero,Khan-Adams,Reyeston,$50.64
Carolyn Bartlett,Andrews-Mccoy,Wrightmouth,$471.30
Scott Mills,Lee-Silva,Marshallland,$1362.84
Ricky Tate,Holland; Rich and Pruitt,Goodborough,$33.79
Timothy Miller,Robertson PLC,West Jessicabury,$21.66
Jamie Rangel,Martinez-Mitchell,Andreaside,$831.94
Michael Brandt,Wilson; Evans and Torres,Lake Loriberg,$878.02
Chris Kennedy,Perez Ltd,Karaview,$33963.05
Virginia Thomas,Lewis Inc,Deborahchester,$541.66
Christopher Morris,Barrett-Patterson,Taylorberg,$493.17
Brian Lawson,Edwards; Gill and Wright,Jameston,$1259.26
